phoneme,group,formant,n,mean,median,sd,iqr,cv
a,L1 French F,F1_norm,303,0.14,0.172,0.236,0.289,1.685
a,L1 French F,F2_norm,303,-0.398,-0.755,0.683,1.175,1.716
a,L1 French M,F1_norm,1026,0.065,0.005,0.479,0.392,7.423
a,L1 French M,F2_norm,1026,-0.375,-0.456,0.558,0.77,1.487
a,L2 Russian F,F1_norm,1456,0.146,0.178,0.409,0.34,2.81
a,L2 Russian F,F2_norm,1456,-0.318,-0.388,0.461,0.59,1.447
a,L2 Russian M,F1_norm,298,0.31,0.345,0.386,0.498,1.245
a,L2 Russian M,F2_norm,298,-0.399,-0.445,0.535,0.823,1.341
e,L1 French F,F1_norm,24,-0.388,-0.461,0.188,0.266,0.483
e,L1 French F,F2_norm,24,0.789,0.765,0.136,0.159,0.173
e,L1 French M,F1_norm,84,-0.387,-0.494,0.279,0.424,0.721
e,L1 French M,F2_norm,84,0.484,0.508,0.352,0.414,0.727
e,L2 Russian F,F1_norm,107,-0.408,-0.393,0.216,0.261,0.53
e,L2 Russian F,F2_norm,107,0.616,0.762,0.741,0.754,1.201
e,L2 Russian M,F1_norm,25,-0.378,-0.401,0.115,0.191,0.305
e,L2 Russian M,F2_norm,25,0.784,0.85,0.312,0.254,0.398
i,L1 French F,F1_norm,203,-0.588,-0.645,0.225,0.361,0.382
i,L1 French F,F2_norm,203,1.203,1.204,0.275,0.214,0.228
i,L1 French M,F1_norm,703,-0.839,-0.867,0.139,0.12,0.165
i,L1 French M,F2_norm,703,1.159,1.175,0.419,0.363,0.362
i,L2 Russian F,F1_norm,777,-0.836,-0.878,0.234,0.24,0.279
i,L2 Russian F,F2_norm,777,1.396,1.587,0.789,0.52,0.565
i,L2 Russian M,F1_norm,183,-0.863,-0.889,0.143,0.168,0.166
i,L2 Russian M,F2_norm,183,1.374,1.445,0.549,0.535,0.399
o,L1 French F,F1_norm,12,-0.563,-0.559,0.071,0.093,0.125
o,L1 French F,F2_norm,12,-0.84,-0.858,0.166,0.225,0.198
o,L1 French M,F1_norm,42,-0.59,-0.613,0.074,0.067,0.125
o,L1 French M,F2_norm,42,-0.62,-0.628,0.183,0.264,0.296
o,L2 Russian F,F1_norm,48,-0.608,-0.617,0.14,0.169,0.23
o,L2 Russian F,F2_norm,48,-0.463,-0.564,0.314,0.467,0.678
o,L2 Russian M,F1_norm,12,-0.502,-0.489,0.111,0.174,0.22
o,L2 Russian M,F2_norm,12,-0.891,-0.888,0.093,0.118,0.104
u,L1 French F,F1_norm,73,-0.624,-0.633,0.189,0.353,0.303
u,L1 French F,F2_norm,73,-1.36,-1.374,0.4,0.491,0.294
u,L1 French M,F1_norm,247,-0.679,-0.707,0.16,0.188,0.236
u,L1 French M,F2_norm,247,-1.351,-1.381,0.387,0.556,0.287
u,L2 Russian F,F1_norm,309,-0.795,-0.819,0.182,0.197,0.229
u,L2 Russian F,F2_norm,309,-1.083,-1.122,0.49,0.67,0.452
u,L2 Russian M,F1_norm,70,-0.798,-0.776,0.152,0.18,0.191
u,L2 Russian M,F2_norm,70,-1.279,-1.375,0.515,0.479,0.402
y,L1 French F,F1_norm,60,-0.687,-0.699,0.173,0.25,0.252
y,L1 French F,F2_norm,60,0.391,0.461,0.502,0.504,1.284
y,L1 French M,F1_norm,212,-0.629,-0.766,0.503,0.142,0.8
y,L1 French M,F2_norm,212,0.196,0.231,0.493,0.675,2.515
y,L2 Russian F,F1_norm,199,-0.836,-0.882,0.251,0.192,0.3
y,L2 Russian F,F2_norm,199,0.26,0.301,0.526,0.617,2.021
y,L2 Russian M,F1_norm,60,-0.771,-0.797,0.264,0.157,0.342
y,L2 Russian M,F2_norm,60,0.135,0.414,0.729,0.53,5.386
ø,L1 French F,F1_norm,24,-0.473,-0.471,0.046,0.051,0.098
ø,L1 French F,F2_norm,24,0.278,0.32,0.353,0.364,1.268
ø,L1 French M,F1_norm,84,-0.596,-0.586,0.098,0.155,0.165
ø,L1 French M,F2_norm,84,-0.087,-0.073,0.253,0.34,2.92
ø,L2 Russian F,F1_norm,95,-0.51,-0.566,0.189,0.309,0.371
ø,L2 Russian F,F2_norm,95,0.094,0.21,0.415,0.421,4.394
ø,L2 Russian M,F1_norm,25,-0.521,-0.551,0.137,0.146,0.263
ø,L2 Russian M,F2_norm,25,0.168,0.323,0.437,0.187,2.602
ɛ,L1 French F,F1_norm,36,-0.124,-0.084,0.156,0.175,1.262
ɛ,L1 French F,F2_norm,36,0.707,0.78,0.219,0.296,0.31
ɛ,L1 French M,F1_norm,125,-0.248,-0.249,0.142,0.188,0.574
ɛ,L1 French M,F2_norm,125,0.515,0.524,0.298,0.376,0.579
ɛ,L2 Russian F,F1_norm,143,-0.265,-0.261,0.214,0.32,0.807
ɛ,L2 Russian F,F2_norm,143,0.491,0.656,0.767,0.693,1.563
ɛ,L2 Russian M,F1_norm,41,-0.341,-0.338,0.174,0.215,0.511
ɛ,L2 Russian M,F2_norm,41,0.892,0.947,0.263,0.36,0.295
ɑ,L1 French F,F1_norm,129,-0.114,-0.13,0.16,0.247,1.395
ɑ,L1 French F,F2_norm,129,-1.033,-1.022,0.153,0.201,0.148
ɑ,L1 French M,F1_norm,349,-0.105,-0.112,0.156,0.198,1.486
ɑ,L1 French M,F2_norm,349,-0.919,-0.943,0.168,0.128,0.182
ɑ,L2 Russian F,F1_norm,243,-0.116,-0.113,0.448,0.478,3.875
ɑ,L2 Russian F,F2_norm,243,-0.795,-0.859,0.402,0.378,0.506
ɑ,L2 Russian M,F1_norm,136,-0.018,-0.042,0.21,0.217,11.997
ɑ,L2 Russian M,F2_norm,136,-1.002,-0.996,0.274,0.267,0.273
ə,L1 French F,F1_norm,18,-0.559,-0.369,0.523,0.663,0.936
ə,L1 French F,F2_norm,18,0.045,0.122,0.222,0.238,4.936
ə,L1 French M,F1_norm,11,-0.585,-0.523,0.209,0.268,0.357
ə,L1 French M,F2_norm,11,-0.228,-0.347,0.244,0.391,1.071
ə,L2 Russian F,F1_norm,83,-0.402,-0.485,0.51,0.58,1.266
ə,L2 Russian F,F2_norm,83,-0.036,0.067,0.506,0.542,14.096
ə,L2 Russian M,F1_norm,4,0.045,-0.0,0.165,0.108,3.664
ə,L2 Russian M,F2_norm,4,0.162,0.343,0.64,0.719,3.947
